Gregorian Date,Chinese year (Gan-Zhi),Chinese year (Zodiac),Lunar month,Lunar Date
26-May-27,丁未年,羊,四月,廿一
27-May-27,丁未年,羊,四月,廿二
28-May-27,丁未年,羊,四月,廿三
29-May-27,丁未年,羊,四月,廿四
30-May-27,丁未年,羊,四月,廿五
31-May-27,丁未年,羊,四月,廿六
1-Jun-27,丁未年,羊,四月,廿七
2-Jun-27,丁未年,羊,四月,廿八
3-Jun-27,丁未年,羊,四月,廿九
4-Jun-27,丁未年,羊,四月,三十
5-Jun-27,丁未年,羊,五月,初一
6-Jun-27,丁未年,羊,五月,初二
7-Jun-27,丁未年,羊,五月,初三
8-Jun-27,丁未年,羊,五月,初四
9-Jun-27,丁未年,羊,五月,初五
10-Jun-27,丁未年,羊,五月,初六
11-Jun-27,丁未年,羊,五月,初七
12-Jun-27,丁未年,羊,五月,初八
13-Jun-27,丁未年,羊,五月,初九
14-Jun-27,丁未年,羊,五月,初十
15-Jun-27,丁未年,羊,五月,十一
16-Jun-27,丁未年,羊,五月,十二
17-Jun-27,丁未年,羊,五月,十三
18-Jun-27,丁未年,羊,五月,十四
19-Jun-27,丁未年,羊,五月,十五
20-Jun-27,丁未年,羊,五月,十六
21-Jun-27,丁未年,羊,五月,十七
22-Jun-27,丁未年,羊,五月,十八
23-Jun-27,丁未年,羊,五月,十九
24-Jun-27,丁未年,羊,五月,二十
25-Jun-27,丁未年,羊,五月,廿一
26-Jun-27,丁未年,羊,五月,廿二
27-Jun-27,丁未年,羊,五月,廿三
28-Jun-27,丁未年,羊,五月,廿四
29-Jun-27,丁未年,羊,五月,廿五
30-Jun-27,丁未年,羊,五月,廿六
1-Jul-27,丁未年,羊,五月,廿七
2-Jul-27,丁未年,羊,五月,廿八
3-Jul-27,丁未年,羊,五月,廿九
4-Jul-27,丁未年,羊,六月,初一
5-Jul-27,丁未年,羊,六月,初二
6-Jul-27,丁未年,羊,六月,初三
7-Jul-27,丁未年,羊,六月,初四
8-Jul-27,丁未年,羊,六月,初五
9-Jul-27,丁未年,羊,六月,初六
10-Jul-27,丁未年,羊,六月,初七
11-Jul-27,丁未年,羊,六月,初八
12-Jul-27,丁未年,羊,六月,初九
13-Jul-27,丁未年,羊,六月,初十
14-Jul-27,丁未年,羊,六月,十一
15-Jul-27,丁未年,羊,六月,十二
16-Jul-27,丁未年,羊,六月,十三
17-Jul-27,丁未年,羊,六月,十四
18-Jul-27,丁未年,羊,六月,十五
19-Jul-27,丁未年,羊,六月,十六
20-Jul-27,丁未年,羊,六月,十七
21-Jul-27,丁未年,羊,六月,十八
22-Jul-27,丁未年,羊,六月,十九
23-Jul-27,丁未年,羊,六月,二十
24-Jul-27,丁未年,羊,六月,廿一
25-Jul-27,丁未年,羊,六月,廿二
26-Jul-27,丁未年,羊,六月,廿三
27-Jul-27,丁未年,羊,六月,廿四
28-Jul-27,丁未年,羊,六月,廿五
29-Jul-27,丁未年,羊,六月,廿六
30-Jul-27,丁未年,羊,六月,廿七
31-Jul-27,丁未年,羊,六月,廿八
1-Aug-27,丁未年,羊,六月,廿九
2-Aug-27,丁未年,羊,七月,初一
3-Aug-27,丁未年,羊,七月,初二
4-Aug-27,丁未年,羊,七月,初三
5-Aug-27,丁未年,羊,七月,初四
6-Aug-27,丁未年,羊,七月,初五
7-Aug-27,丁未年,羊,七月,初六
8-Aug-27,丁未年,羊,七月,初七
9-Aug-27,丁未年,羊,七月,初八
10-Aug-27,丁未年,羊,七月,初九
11-Aug-27,丁未年,羊,七月,初十
12-Aug-27,丁未年,羊,七月,十一
13-Aug-27,丁未年,羊,七月,十二
14-Aug-27,丁未年,羊,七月,十三
15-Aug-27,丁未年,羊,七月,十四
16-Aug-27,丁未年,羊,七月,十五
17-Aug-27,丁未年,羊,七月,十六
18-Aug-27,丁未年,羊,七月,十七
19-Aug-27,丁未年,羊,七月,十八
20-Aug-27,丁未年,羊,七月,十九
21-Aug-27,丁未年,羊,七月,二十
22-Aug-27,丁未年,羊,七月,廿一
23-Aug-27,丁未年,羊,七月,廿二
24-Aug-27,丁未年,羊,七月,廿三
25-Aug-27,丁未年,羊,七月,廿四
26-Aug-27,丁未年,羊,七月,廿五
27-Aug-27,丁未年,羊,七月,廿六
28-Aug-27,丁未年,羊,七月,廿七
29-Aug-27,丁未年,羊,七月,廿八
30-Aug-27,丁未年,羊,七月,廿九
31-Aug-27,丁未年,羊,七月,三十
1-Sep-27,丁未年,羊,八月,初一
2-Sep-27,丁未年,羊,八月,初二
3-Sep-27,丁未年,羊,八月,初三
4-Sep-27,丁未年,羊,八月,初四
5-Sep-27,丁未年,羊,八月,初五
6-Sep-27,丁未年,羊,八月,初六
7-Sep-27,丁未年,羊,八月,初七
8-Sep-27,丁未年,羊,八月,初八
9-Sep-27,丁未年,羊,八月,初九
10-Sep-27,丁未年,羊,八月,初十
11-Sep-27,丁未年,羊,八月,十一
12-Sep-27,丁未年,羊,八月,十二
13-Sep-27,丁未年,羊,八月,十三
14-Sep-27,丁未年,羊,八月,十四
15-Sep-27,丁未年,羊,八月,十五
16-Sep-27,丁未年,羊,八月,十六
17-Sep-27,丁未年,羊,八月,十七
18-Sep-27,丁未年,羊,八月,十八
19-Sep-27,丁未年,羊,八月,十九
20-Sep-27,丁未年,羊,八月,二十
21-Sep-27,丁未年,羊,八月,廿一
22-Sep-27,丁未年,羊,八月,廿二
23-Sep-27,丁未年,羊,八月,廿三
24-Sep-27,丁未年,羊,八月,廿四
25-Sep-27,丁未年,羊,八月,廿五
26-Sep-27,丁未年,羊,八月,廿六
27-Sep-27,丁未年,羊,八月,廿七
28-Sep-27,丁未年,羊,八月,廿八
29-Sep-27,丁未年,羊,八月,廿九
30-Sep-27,丁未年,羊,九月,初一
1-Oct-27,丁未年,羊,九月,初二
2-Oct-27,丁未年,羊,九月,初三
3-Oct-27,丁未年,羊,九月,初四
4-Oct-27,丁未年,羊,九月,初五
5-Oct-27,丁未年,羊,九月,初六
6-Oct-27,丁未年,羊,九月,初七
7-Oct-27,丁未年,羊,九月,初八
8-Oct-27,丁未年,羊,九月,初九
9-Oct-27,丁未年,羊,九月,初十
10-Oct-27,丁未年,羊,九月,十一
11-Oct-27,丁未年,羊,九月,十二
12-Oct-27,丁未年,羊,九月,十三
13-Oct-27,丁未年,羊,九月,十四
14-Oct-27,丁未年,羊,九月,十五
15-Oct-27,丁未年,羊,九月,十六
16-Oct-27,丁未年,羊,九月,十七
17-Oct-27,丁未年,羊,九月,十八
18-Oct-27,丁未年,羊,九月,十九
19-Oct-27,丁未年,羊,九月,二十
20-Oct-27,丁未年,羊,九月,廿一
21-Oct-27,丁未年,羊,九月,廿二
22-Oct-27,丁未年,羊,九月,廿三
23-Oct-27,丁未年,羊,九月,廿四
24-Oct-27,丁未年,羊,九月,廿五
25-Oct-27,丁未年,羊,九月,廿六
26-Oct-27,丁未年,羊,九月,廿七
27-Oct-27,丁未年,羊,九月,廿八
28-Oct-27,丁未年,羊,九月,廿九
29-Oct-27,丁未年,羊,十月,初一
30-Oct-27,丁未年,羊,十月,初二
31-Oct-27,丁未年,羊,十月,初三
1-Nov-27,丁未年,羊,十月,初四
2-Nov-27,丁未年,羊,十月,初五
3-Nov-27,丁未年,羊,十月,初六
4-Nov-27,丁未年,羊,十月,初七
5-Nov-27,丁未年,羊,十月,初八
6-Nov-27,丁未年,羊,十月,初九
7-Nov-27,丁未年,羊,十月,初十
8-Nov-27,丁未年,羊,十月,十一
9-Nov-27,丁未年,羊,十月,十二
10-Nov-27,丁未年,羊,十月,十三
11-Nov-27,丁未年,羊,十月,十四
12-Nov-27,丁未年,羊,十月,十五
13-Nov-27,丁未年,羊,十月,十六
14-Nov-27,丁未年,羊,十月,十七
15-Nov-27,丁未年,羊,十月,十八
16-Nov-27,丁未年,羊,十月,十九
17-Nov-27,丁未年,羊,十月,二十
18-Nov-27,丁未年,羊,十月,廿一
19-Nov-27,丁未年,羊,十月,廿二
20-Nov-27,丁未年,羊,十月,廿三
21-Nov-27,丁未年,羊,十月,廿四
22-Nov-27,丁未年,羊,十月,廿五
23-Nov-27,丁未年,羊,十月,廿六
24-Nov-27,丁未年,羊,十月,廿七
25-Nov-27,丁未年,羊,十月,廿八
26-Nov-27,丁未年,羊,十月,廿九
27-Nov-27,丁未年,羊,十月,三十
28-Nov-27,丁未年,羊,十一月,初一
29-Nov-27,丁未年,羊,十一月,初二
30-Nov-27,丁未年,羊,十一月,初三
1-Dec-27,丁未年,羊,十一月,初四
2-Dec-27,丁未年,羊,十一月,初五
3-Dec-27,丁未年,羊,十一月,初六
4-Dec-27,丁未年,羊,十一月,初七
5-Dec-27,丁未年,羊,十一月,初八
6-Dec-27,丁未年,羊,十一月,初九
7-Dec-27,丁未年,羊,十一月,初十
8-Dec-27,丁未年,羊,十一月,十一
9-Dec-27,丁未年,羊,十一月,十二
10-Dec-27,丁未年,羊,十一月,十三
11-Dec-27,丁未年,羊,十一月,十四
12-Dec-27,丁未年,羊,十一月,十五
13-Dec-27,丁未年,羊,十一月,十六
14-Dec-27,丁未年,羊,十一月,十七
15-Dec-27,丁未年,羊,十一月,十八
16-Dec-27,丁未年,羊,十一月,十九
17-Dec-27,丁未年,羊,十一月,二十
18-Dec-27,丁未年,羊,十一月,廿一
19-Dec-27,丁未年,羊,十一月,廿二
20-Dec-27,丁未年,羊,十一月,廿三
21-Dec-27,丁未年,羊,十一月,廿四
22-Dec-27,丁未年,羊,十一月,廿五
23-Dec-27,丁未年,羊,十一月,廿六
24-Dec-27,丁未年,羊,十一月,廿七
25-Dec-27,丁未年,羊,十一月,廿八
26-Dec-27,丁未年,羊,十一月,廿九
27-Dec-27,丁未年,羊,十一月,三十
28-Dec-27,丁未年,羊,十二月,初一
29-Dec-27,丁未年,羊,十二月,初二
30-Dec-27,丁未年,羊,十二月,初三
31-Dec-27,丁未年,羊,十二月,初四
